host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,about_length,days_hosting,num_verifications,num_amenities
within a day,1,1,t,1,t,t,Private room,2,1 private bath,1,1,90,2,30,2,32,62,337,94,16,0,4.96,4.99,4.95,5,5,4.9,4.96,f,65.58,107,2385,6,37
within a few hours,1,0.98,f,2,t,t,Private room,3,1.5 shared baths,1,2,73,2,180,9,39,57,57,50,19,0,4.68,4.74,4.06,4.94,4.96,4.9,4.7,f,1.84,104,2380,7,52
within an hour,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,1,128,2,30,4,20,37,210,772,104,8,4.93,4.98,4.98,4.99,4.99,4.87,4.87,f,9.82,20,3520,9,17
within an hour,1,0.89,t,1,t,t,Entire home/apt,3,1 bath,1,1,165,3,30,1,17,47,137,135,16,3,4.97,4.96,4.97,4.99,5,4.95,4.92,f,2.49,69,2376,5,46
within a few hours,0.75,0.65,f,0,t,f,Entire home/apt,4,1 bath,1,2,101,1,1125,0,14,31,110,93,10,0,4.76,4.88,4.46,4.97,4.92,4.82,4.74,f,1.21,85,3320,8,31
within a few hours,0.96,0.93,t,7,t,t,Private room,1,2 shared baths,1,1,52,2,90,5,32,62,337,254,18,2,4.81,4.91,4.86,4.91,4.96,4.92,4.89,f,6.32,31,3011,8,18
within a few hours,1,0.85,t,1,t,t,Private room,2,1 private bath,1,1,51,1,1125,13,43,73,73,286,23,3,4.91,4.95,4.86,4.98,4.98,4.93,4.89,f,7.79,66,2367,4,30
within a few hours,1,1,t,1,t,t,Entire home/apt,4,1 bath,3,3,93,30,100,13,23,38,240,74,5,0,4.9,4.89,4.94,5,4.99,4.9,4.91,f,0.96,28,2363,4,46
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,101,2,1125,7,37,60,76,217,19,1,4.93,4.98,4.97,4.98,4.97,4.87,4.9,f,4.46,33,2362,4,27
within an hour,0.89,1,f,6,t,t,Entire home/apt,4,1 bath,1,2,69,1,30,6,18,31,31,223,22,1,4.82,4.86,4.85,4.96,4.9,4.89,4.86,t,2.94,35,2352,6,35
within an hour,1,1,t,2,t,t,Entire home/apt,4,1 bath,2,2,65,30,1125,1,1,1,1,17,3,0,5,5,4.88,5,5,4.88,5,f,0.58,103,2364,7,40
within a few hours,0.96,0.93,t,7,t,t,Private room,2,2 shared baths,1,1,92,2,90,8,34,64,339,317,18,3,4.79,4.88,4.84,4.93,4.92,4.98,4.8,f,10.47,31,3011,8,20
within a few hours,1,0.64,f,2,t,t,Entire home/apt,2,1 bath,1,2,99,30,180,9,39,69,69,188,3,0,4.83,4.9,4.89,4.91,4.94,4.91,4.91,f,2.5,109,2702,6,33
within a few hours,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,1,295,2,1125,3,10,23,225,14,8,1,4.79,4.86,5,4.86,4.93,5,4.64,t,0.44,5,2453,6,34
within an hour,1,0.94,t,3,t,t,Entire home/apt,4,1.5 baths,2,2,289,4,1125,7,32,62,106,195,13,2,4.71,4.86,4.85,4.92,4.91,4.75,4.63,f,2.58,48,2993,7,47
within an hour,1,0.92,t,1,t,t,Entire home/apt,4,1.5 baths,2,2,221,2,6,18,48,78,168,154,32,6,4.81,4.92,4.89,4.97,4.97,4.76,4.77,t,11.73,63,2326,5,34
within an hour,1,0.94,t,1,t,t,Entire home/apt,3,1 bath,1,1,100,2,1125,6,29,59,149,141,42,3,4.96,4.96,4.97,4.99,4.96,4.87,4.9,f,1.83,298,2323,4,46
within a few hours,0.69,0.98,f,7,t,t,Shared room,1,2.5 shared baths,1,1,33,1,365,26,52,67,67,91,3,0,4.71,4.94,4.7,4.87,4.8,4.81,4.9,t,1.2,34,3767,8,24
within a few hours,0.69,0.98,f,7,t,t,Private room,2,2.5 shared baths,1,1,70,1,365,21,51,81,218,63,17,1,4.76,4.77,4.71,4.98,4.92,4.94,4.69,t,43.95,34,3767,8,16
within a few hours,0.94,0.63,f,2,t,t,Private room,2,1 shared bath,1,1,53,1,150,17,47,77,352,145,11,2,4.71,4.84,4.64,4.95,4.94,4.92,4.73,f,2.35,135,2375,4,33
within an hour,1,1,t,0,t,t,Entire home/apt,2,1 bath,1,1,101,3,4,8,26,56,56,117,39,3,4.94,4.98,4.98,4.98,4.98,4.89,4.86,f,1.53,60,2318,4,24
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,1,1,60,30,1125,1,1,19,118,135,0,0,4.84,4.93,4.93,4.98,4.98,4.77,4.86,f,1.83,64,2383,4,48
within an hour,1,0.98,t,1,t,t,Entire home/apt,2,1 bath,1,0,103,2,1125,3,21,48,311,360,35,7,4.95,4.93,4.97,5,4.99,4.85,4.91,f,5.64,0,2834,7,34
within an hour,1,1,t,1,t,t,Entire home/apt,6,2 baths,3,4,325,3,1125,4,13,24,266,21,14,0,5,5,4.9,5,5,5,4.9,t,0.66,130,2739,4,41
within an hour,1,1,t,3,t,t,Entire home/apt,2,1 bath,1,1,114,7,90,17,47,77,77,136,4,1,4.86,4.95,4.9,5,4.99,4.94,4.88,f,1.84,61,3851,5,35
within a few hours,0.87,0.73,f,6,t,t,Private room,4,1 private bath,2,2,95,1,1125,15,40,70,339,166,26,2,4.79,4.88,4.71,4.96,4.96,4.85,4.91,f,2.23,79,2296,4,32
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,94,2,1125,8,30,43,43,337,34,3,4.9,4.96,4.99,5,4.98,4.94,4.89,f,4.69,11,2277,5,25
within an hour,1,0.88,t,1,t,t,Private room,3,1 private bath,1,1,83,2,3,0,0,15,15,154,22,0,4.91,4.96,4.94,4.99,4.98,4.92,4.87,f,2.96,24,2294,6,23
within an hour,1,1,f,2,t,t,Private room,2,1 shared bath,1,1,81,2,30,25,55,85,360,100,23,0,4.82,4.91,4.76,4.92,4.9,4.92,4.86,t,1.56,67,2303,4,39
within an hour,1,1,t,3,t,t,Entire home/apt,3,1 bath,1,2,85,3,90,2,17,27,236,303,34,3,4.86,4.93,4.91,4.92,4.82,4.83,4.89,f,4.18,82,2272,9,35
within an hour,1,1,f,3,t,t,Entire home/apt,7,2 baths,3,3,300,2,1125,12,39,66,253,193,38,1,4.79,4.88,4.81,4.95,4.97,4.76,4.73,t,4.37,0,2269,8,37
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,91,2,100,12,28,28,28,260,30,3,4.93,4.98,4.98,4.97,4.98,4.92,4.91,f,4.12,86,3406,5,37
within an hour,1,1,t,3,t,t,Entire home/apt,1,1 bath,1,1,93,28,1125,19,49,79,79,99,6,1,4.9,4.91,4.85,4.99,4.99,4.87,4.88,f,1.81,61,3851,5,46
within an hour,1,1,t,1,t,t,Entire home/apt,3,1 bath,1,1,93,2,1125,10,28,58,235,147,49,4,4.81,4.91,4.86,4.96,4.95,4.93,4.8,t,3.81,16,2710,11,20
